post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-07 18:52:14,0.9384615384615385,False
47641615,Sopwith – 1984 Game (2000),sports,98,42,elvis70,2026-04-07 18:53:10,0.42424242424242425,False
47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,15,0,ryan_j_naughton,2026-04-07 18:56:37,0.0,False
47627217,Running Out of Disk Space in Production,science,52,18,romes,2026-04-07 18:59:51,0.33962264150943394,False
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,52,0,tosh,2026-04-07 19:01:35,0.0,False
47650502,Computational Physics (2nd Edition) (2025),science,182,22,teleforce,2026-04-07 19:02:38,0.12021857923497267,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-07 19:02:46,0.5470085470085471,False
47648404,My Google Workspace account suspension,science,368,217,zenincognito,2026-04-07 19:04:39,0.5880758807588076,True
47629485,A case study in testing with 100+ Claude agents in parallel,science,66,54,thejash,2026-04-07 19:05:44,0.8059701492537313,False
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-07 19:08:41,0.9444444444444444,False
47663650,NASA's Artemis II Crew Flies Around the Moon (Official Broadcast) [video],science,6,1,gwbas1c,2026-04-07 19:11:11,0.14285714285714285,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-07 19:12:06,0.14634146341463414,False
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,103,31,sam-bee,2026-04-07 19:14:08,0.2980769230769231,False
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,84,79,Zm44,2026-04-07 19:14:10,0.9294117647058824,False
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,36,6,intofarlands,2026-04-07 19:14:12,0.16216216216216217,False
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,34,6,Sean-Der,2026-04-07 19:14:19,0.17142857142857143,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,419,185,MattHart88,2026-04-07 19:14:27,0.44047619047619047,True
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,25,15,fsloth,2026-04-07 19:14:37,0.5769230769230769,False
47660853,Book review: There Is No Antimemetics Division,entertainment,273,203,ibobev,2026-04-07 19:14:49,0.7408759124087592,True
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,95,26,noone_youknow,2026-04-07 19:14:53,0.2708333333333333,False
47637828,Show HN: Tusk for macOS and Gnome,entertainment,108,36,factorialboy,2026-04-07 19:15:04,0.3302752293577982,False
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,59,12,4RH1T3CT0R,2026-04-07 19:15:17,0.2,False
47662429,Show HN: Weird Clocks,entertainment,46,13,vunderba,2026-04-07 19:15:49,0.2765957446808511,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,315,198,nevernothing,2026-04-07 19:16:00,0.6265822784810127,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,98,22,mohshomis,2026-04-07 19:16:18,0.2222222222222222,False
47652322,Music for Programming,entertainment,344,170,merusame,2026-04-07 19:16:26,0.4927536231884058,True
47637206,Show HN: Docking – Extensible Linux dock in Python,entertainment,26,8,edumucelli,2026-04-07 19:16:30,0.2962962962962963,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,83,9,lexalizer,2026-04-07 19:17:00,0.10714285714285714,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,173,29,laszlokorte,2026-04-07 19:17:01,0.16666666666666666,False
47658617,Show HN: I just built a MCP Server that connects Claude to all your wearables,entertainment,17,12,anton_salcher,2026-04-07 19:17:17,0.6666666666666666,False
47665630,Show HN: Meta-agent: self-improving agent harnesses from live traces,entertainment,10,0,essamsleiman,2026-04-07 19:17:20,0.0,False
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,116,54,waveywaves,2026-04-07 19:17:33,0.46153846153846156,False
47662313,Show HN: ReverseCam – See yourself as others see you,entertainment,9,1,ilamparithi,2026-04-07 19:17:48,0.1,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,780,194,ramkarthikk,2026-04-07 19:18:03,0.24839948783610755,True
47613118,Show HN: I built a small app for FSI German Course,entertainment,53,15,syedmsawaid,2026-04-07 19:18:10,0.2777777777777778,False
47659363,"Show HN: I replaced Google Analytics with my own tool – no cookies, <1KB script",entertainment,13,10,VictorChanet,2026-04-07 19:18:26,0.7142857142857143,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,157,18,kaipereira,2026-04-07 19:19:03,0.11392405063291139,False
